"Ano","Renovables.Residuos","Consumo.Total","Hidroelectrica","Viento.Olas","Solar","Geo","Vertedero","Gas"
1990,1.647,225.532,0.448,0.001,0,0.001,0.08,0.138
1991,1.634,231.288,0.398,0.001,0,0.001,0.105,0.151
1992,1.843,228.696,0.467,0.003,0,0.001,0.155,0.151
1993,1.862,231.368,0.37,0.019,0,0.001,0.162,0.158
1994,2.528,230.739,0.438,0.03,0,0.001,0.188,0.17
1995,2.644,230.886,0.416,0.034,0,0.001,0.199,0.193
1996,2.581,243.392,0.292,0.042,0,0.001,0.249,0.193
1997,2.611,240.756,0.378,0.057,0,0.001,0.317,0.192
1998,3.013,246.79,0.44,0.075,0,0.001,0.402,0.181
1999,3.148,246.112,0.459,0.073,0,0.001,0.572,0.189
2000,3.164,248.037,0.437,0.081,0,0.001,0.731,0.169
2001,3.27,252.807,0.348,0.083,0,0.001,0.836,0.168
2002,3.575,244.98,0.412,0.108,0,0.001,0.892,0.174
2003,3.802,248.011,0.278,0.111,0,0.001,1.088,0.165
2004,4.407,249.249,0.418,0.166,0,0.001,1.327,0.177
2005,5.026,249.704,0.423,0.25,0.001,0.001,1.421,0.206
2006,5.38,243.557,0.395,0.363,0.001,0.001,1.465,0.19
2007,5.579,239.041,0.437,0.453,0.001,0.001,1.547,0.211
2008,6.463,235.284,0.442,0.612,0.001,0.001,1.554,0.23
2009,7.258,220.872,0.45,0.798,0.002,0.001,1.626,0.249
2010,7.94,227.221,0.309,0.884,0.003,0.001,1.725,0.295
2011,8.846,213.972,0.489,1.373,0.021,0.001,1.758,0.318
2012,9.523,216.058,0.457,1.707,0.116,0.001,1.722,0.306
2013,11.238,213.781,0.4,2.442,0.173,0.001,1.711,0.32
2014,13.332,202.499,0.51,2.748,0.349,0.001,1.664,0.343
2015,16.075,203.941,0.54,3.463,0.648,0.001,1.612,0.366
2016,16.75,202.261,0.46,3.195,0.894,0.001,1.556,0.387
2017,18.656,197.273,0.51,4.268,0.985,0.001,1.419,0.398
2018,21.034,198.125,0.47,4.893,1.089,0.001,1.298,0.407
2019,22.871,192.5,0.5,5.485,1.082,0.001,1.202,0.434
2020,24.472,169.439,0.58,6.481,1.131,0.001,1.16,0.44
