"Ano","Mes","CH4"
1983,7,1626.58
1983,8,1627.88
1983,9,1638.49
1983,10,1644.8
1983,11,1642.58
1983,12,1639.52
1984,1,1638.67
1984,2,1638.77
1984,3,1640.76
1984,4,1643.72
1984,5,1642.91
1984,6,1639.62
1984,7,1637.77
1984,8,1641.36
1984,9,1650.43
1984,10,1654.49
1984,11,1653.66
1984,12,1656.14
1985,1,1655.59
1985,2,1652.23
1985,3,1654.6
1985,4,1658.18
1985,5,1655.87
1985,6,1650.06
1985,7,1646.79
1985,8,1652.25
1985,9,1662.53
1985,10,1667.49
1985,11,1666.77
1985,12,1666.06
1986,1,1666.24
1986,2,1666.85
1986,3,1669.26
1986,4,1670.81
1986,5,1668.44
1986,6,1664.79
1986,7,1662.31
1986,8,1664.36
1986,9,1672.61
1986,10,1678.67
1986,11,1678.98
1986,12,1679.13
1987,1,1679.32
1987,2,1678.98
1987,3,1680.12
1987,4,1681.43
1987,5,1681.86
1987,6,1680.03
1987,7,1675.97
1987,8,1677.14
1987,9,1685.62
1987,10,1691.57
1987,11,1691.16
1987,12,1690.51
1988,1,1691.95
1988,2,1692.49
1988,3,1691.25
1988,4,1689.99
1988,5,1689.05
1988,6,1687.1
1988,7,1685.79
1988,8,1689.15
1988,9,1695.95
1988,10,1701.07
1988,11,1702.82
1988,12,1701.96
1989,1,1700.55
1989,2,1701.08
1989,3,1702.54
1989,4,1703.67
1989,5,1703.42
1989,6,1700.25
1989,7,1698.22
1989,8,1701.97
1989,9,1707.2
1989,10,1710.51
1989,11,1713.07
1989,12,1713.18
1990,1,1711.99
1990,2,1713.33
1990,3,1714.36
1990,4,1712.63
1990,5,1710.68
1990,6,1708.34
1990,7,1706.36
1990,8,1710.1
1990,9,1717.58
1990,10,1722.03
1990,11,1723.49
1990,12,1723.37
1991,1,1721.6
1991,2,1721.2
1991,3,1722.12
1991,4,1722.54
1991,5,1722.23
1991,6,1719.03
1991,7,1716.05
1991,8,1719.21
1991,9,1726.17
1991,10,1732.72
1991,11,1737.47
1991,12,1739.65
1992,1,1738.89
1992,2,1737.33
1992,3,1736.96
1992,4,1736.63
1992,5,1734.92
1992,6,1731.59
1992,7,1728.87
1992,8,1730.41
1992,9,1734.71
1992,10,1737.75
1992,11,1739.29
1992,12,1738.58
1993,1,1735.76
1993,2,1734.38
1993,3,1735.51
1993,4,1736.67
1993,5,1734.96
1993,6,1730.84
1993,7,1728.02
1993,8,1731.19
1993,9,1738.49
1993,10,1743.34
1993,11,1745.16
1993,12,1744.28
1994,1,1741.42
1994,2,1740.85
1994,3,1741.93
1994,4,1741.92
1994,5,1740.63
1994,6,1736.92
1994,7,1732.4
1994,8,1734.08
1994,9,1742.97
1994,10,1749.82
1994,11,1751.23
1994,12,1751.57
1995,1,1751.04
1995,2,1749.4
1995,3,1748.93
1995,4,1749.38
1995,5,1747.61
1995,6,1742.82
1995,7,1740.14
1995,8,1743.56
1995,9,1749.76
1995,10,1754.27
1995,11,1755.39
1995,12,1753.82
1996,1,1752.29
1996,2,1752.81
1996,3,1752.27
1996,4,1749.58
1996,5,1748.27
1996,6,1746.05
1996,7,1742.01
1996,8,1744.24
1996,9,1752.6
1996,10,1758.81
1996,11,1759.99
1996,12,1756.95
1997,1,1753.41
1997,2,1753.89
1997,3,1755.69
1997,4,1755.52
1997,5,1753.85
1997,6,1750.16
1997,7,1746.13
1997,8,1747.89
1997,9,1755.05
1997,10,1760.23
1997,11,1761.68
1997,12,1761.93
1998,1,1761.5
1998,2,1761.56
1998,3,1763.05
1998,4,1764.69
1998,5,1764.17
1998,6,1760.29
1998,7,1756.15
1998,8,1760.12
1998,9,1770.55
1998,10,1776.2
1998,11,1775.55
1998,12,1774.17
1999,1,1773.98
1999,2,1774.14
1999,3,1774.75
1999,4,1774.95
1999,5,1772.65
1999,6,1767.41
1999,7,1762.99
1999,8,1764.71
1999,9,1771.13
1999,10,1776.63
1999,11,1778.55
1999,12,1777.3
2000,1,1775.57
2000,2,1775.49
2000,3,1776.62
2000,4,1777.27
2000,5,1774.56
2000,6,1768.19
2000,7,1763.54
2000,8,1765.53
2000,9,1772.15
2000,10,1777.1
2000,11,1777.63
2000,12,1775.27
2001,1,1772.86
2001,2,1772.48
2001,3,1773.64
2001,4,1773.84
2001,5,1770.71
2001,6,1765.85
2001,7,1762.72
2001,8,1764.28
2001,9,1770.43
2001,10,1775.5
2001,11,1776.53
2001,12,1775.92
2002,1,1774.09
2002,2,1772.82
2002,3,1773.4
2002,4,1772.71
2002,5,1770.26
2002,6,1766.9
2002,7,1764.27
2002,8,1767
2002,9,1773.76
2002,10,1778.2
2002,11,1779.5
2002,12,1779.71
2003,1,1777.54
2003,2,1774.83
2003,3,1774.84
2003,4,1775.72
2003,5,1774.4
2003,6,1771.7
2003,7,1770.67
2003,8,1774.23
2003,9,1780.51
2003,10,1784.66
2003,11,1785.3
2003,12,1783.59
2004,1,1780.9
2004,2,1779.96
2004,3,1781
2004,4,1780.7
2004,5,1777.56
2004,6,1772.3
2004,7,1767.98
2004,8,1769.72
2004,9,1775.5
2004,10,1779.68
2004,11,1780.46
2004,12,1778.35
2005,1,1776.21
2005,2,1775.65
2005,3,1775.38
2005,4,1774.59
2005,5,1772.27
2005,6,1768.59
2005,7,1766.26
2005,8,1768.04
2005,9,1773.13
2005,10,1778.47
2005,11,1781.16
2005,12,1780.23
2006,1,1779.46
2006,2,1779.41
2006,3,1777.4
2006,4,1776.14
2006,5,1774.94
2006,6,1769.28
2006,7,1764.15
2006,8,1767.24
2006,9,1774.64
2006,10,1778.22
2006,11,1779
2006,12,1779.95
2007,1,1779.22
2007,2,1778.64
2007,3,1780.34
2007,4,1781.12
2007,5,1779.43
2007,6,1775.62
2007,7,1772.58
2007,8,1777.2
2007,9,1785.94
2007,10,1789.84
2007,11,1789.49
2007,12,1788.25
2008,1,1786.76
2008,2,1785.77
2008,3,1786.11
2008,4,1786.84
2008,5,1785.18
2008,6,1780.45
2008,7,1777.6
2008,8,1781.03
2008,9,1787.68
2008,10,1793.66
2008,11,1797.31
2008,12,1796.65
2009,1,1795.07
2009,2,1795.58
2009,3,1795.99
2009,4,1795.54
2009,5,1792.34
2009,6,1786.93
2009,7,1784.95
2009,8,1788.82
2009,9,1794.84
2009,10,1798.02
2009,11,1797.87
2009,12,1796.71
2010,1,1797.1
2010,2,1798.73
2010,3,1799.44
2010,4,1799.61
2010,5,1797.71
2010,6,1792.55
2010,7,1789.4
2010,8,1794.03
2010,9,1801.81
2010,10,1806.49
2010,11,1807
2010,12,1803.62
2011,1,1800.47
2011,2,1800.2
2011,3,1801
2011,4,1802.86
2011,5,1803.31
2011,6,1799.18
2011,7,1796.13
2011,8,1798.95
2011,9,1804.02
2011,10,1809.49
2011,11,1812.3
2011,12,1810.02
2012,1,1807.32
2012,2,1808.25
2012,3,1809.97
2012,4,1808.39
2012,5,1804.68
2012,6,1800.93
2012,7,1799.25
2012,8,1803.2
2012,9,1810.1
2012,10,1814.71
2012,11,1815.84
2012,12,1814.61
2013,1,1814.13
2013,2,1814.21
2013,3,1813.29
2013,4,1812.81
2013,5,1811.93
2013,6,1808.54
2013,7,1805.73
2013,8,1808.4
2013,9,1814.38
2013,10,1818.62
2013,11,1820.37
2013,12,1819.39
2014,1,1816.9
2014,2,1816.39
2014,3,1818.11
2014,4,1820.9
2014,5,1821.95
2014,6,1818.4
2014,7,1815.6
2014,8,1819.82
2014,9,1826.98
2014,10,1831.25
2014,11,1833.07
2014,12,1833.54
2015,1,1832.89
2015,2,1832.68
2015,3,1833.04
2015,4,1833.19
2015,5,1831.78
2015,6,1827.35
2015,7,1824.79
2015,8,1829.19
2015,9,1836.27
2015,10,1841.46
2015,11,1844.66
2015,12,1844.84
2016,1,1842.43
2016,2,1841.63
2016,3,1843.03
2016,4,1843.74
2016,5,1842.13
2016,6,1837.86
2016,7,1834.15
2016,8,1836.68
2016,9,1844.21
2016,10,1849.86
2016,11,1851.41
2016,12,1851.1
2017,1,1849.81
2017,2,1848.54
2017,3,1848.33
2017,4,1848.61
2017,5,1847.18
2017,6,1842.98
2017,7,1840.38
2017,8,1844.65
2017,9,1852.81
2017,10,1858.08
2017,11,1858.67
2017,12,1856.68
2018,1,1854.47
2018,2,1854.94
2018,3,1856.86
2018,4,1856.67
2018,5,1854.78
2018,6,1851.99
2018,7,1849.04
2018,8,1851.88
2018,9,1860.47
2018,10,1865.73
2018,11,1866.22
2018,12,1866.02
2019,1,1865
2019,2,1864.96
2019,3,1866.26
2019,4,1865.3
2019,5,1861.91
2019,6,1858.82
2019,7,1858.43
2019,8,1863
2019,9,1870.76
2019,10,1875.37
2019,11,1875.54
2019,12,1874.68
2020,1,1873.16
2020,2,1872.73
2020,3,1874.77
2020,4,1875.87
2020,5,1874.31
2020,6,1871.89
2020,7,1871.49
2020,8,1876.52
2020,9,1884.7
2020,10,1890.09
2020,11,1891.89
2020,12,1891.82
2021,1,1889.53
2021,2,1887.56
2021,3,1888.74
2021,4,1891.23
2021,5,1891.61
2021,6,1888.47
2021,7,1886.35
2021,8,1892.59
2021,9,1902.68
2021,10,1907.96
2021,11,1909.46
2021,12,1909.29
2022,1,1908.09
2022,2,1907.94
2022,3,1909.23
2022,4,1909.98
2022,5,1908.67
2022,6,1906.11
