"Periodo","ComercialesM","ComercialesH","ConsumoM","ConsumoH","ViviendaM","ViviendaH"
2009,3390104.22,12956088.57,3989157.58,7504257.89,8298258.24,13468374.8
2010,3867278.13,14108635.56,4315198.11,8254067.57,9194099.03,14904048.38
2011,4284374.89,16482478.55,4936229.62,9543220.87,10311465.4,16733872.66
2012,4584245.2,17740949.09,5388963.43,10668754.61,11363631.5,18566116.99
2013,5166569.82,19393684.31,6050738.1,12030299.13,12582232.12,20681007.42
2014,5686689.84,21319266.32,6657293.13,13081645.51,14897533.59,24231475.18
2015,6570036.03,23807621.85,7457077.31,14179500.61,17166177.75,27655908.84
2016,7249548.35,25329481.44,7853314.93,14800275.38,18970770.42,30211116.56
2017,7555078.78,26305608.54,8606287.17,15704707.17,21007322.84,32923235.75
2018,8149067.19,28562213.95,10940415.54,18665848.82,23139513.93,35764912.05
2019,8623153.5,30558168.54,11760993.71,19699666.55,25813656.22,39372433.92
2020,9363898.5,33425655.85,10643225.31,17837362.82,28013374.1,42178343.84
2021,10000993.49,35030996.41,11831737.91,18863131.28,32070930.13,47354194.76
2022,10408381.15,35243522.54,13319756.12,20542942.16,37020351.8,54010608.08
